canonical_smiles,pIC50
CC1=C(CCCC(=O)NCCCN2CCN(C)CC2)C(=O)c2ccccc2C1=O,4.356547323513813
CC1=C(CCCC(=O)NCCCN2CCN(CCCNC(=O)CCCC3=C(C)C(=O)c4cccc(O)c4C3=O)CC2)C(=O)c2c(O)cccc2C1=O,5.638272163982407
CC1=C(CCCC(=O)NCCCN2CCN(CCCNC(=O)CCCC3=C(C)C(=O)c4ccccc4C3=O)CC2)C(=O)c2ccccc2C1=O,5.346787486224656
CC1=C(CCCC(=O)NCCCNCCCNC(=O)CCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.698970004336019
CC1=C(CCCC(=O)NCCCNCCCNC(=O)CCCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,4.958607314841775
CC1=C(CCCC(=O)O)C(=O)c2c(O)cccc2C1=O,4.301029995663981
CC1=C(CCCC(=O)O)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCCCC(=O)NCCCCNCCCNC(=O)CCCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.769551078621726
CC1=C(CCCCC(=O)NCCCCNCCCNC(=O)CCCCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.853871964321762
CC1=C(CCCCC(=O)NCCCN2CCN(CCCNC(=O)CCCCC3=C(C)C(=O)c4cccc(O)c4C3=O)CC2)C(=O)c2c(O)cccc2C1=O,5.6020599913279625
CC1=C(CCCCC(=O)NCCCN2CCN(CCCNC(=O)CCCCC3=C(C)C(=O)c4ccccc4C3=O)CC2)C(=O)c2ccccc2C1=O,5.950781977329818
CC1=C(CCCCC(=O)NCCCNCCCNC(=O)CCCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,6.323908740944319
CC1=C(CCCCC(=O)NCCCNCCCNC(=O)CCCCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,4.728158393463501
CC1=C(CCCCC(=O)O)C(=O)c2c(O)cccc2C1=O,4.301029995663981
CC1=C(CCCCC(=O)O)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.795880017344075
CC1=C(CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.769551078621726
CC1=C(CCCCCC(=O)NCCCN2CCN(CCCNC(=O)CCCCCC3=C(C)C(=O)c4cccc(O)c4C3=O)CC2)C(=O)c2c(O)cccc2C1=O,5.795880017344075
CC1=C(CCCCCC(=O)NCCCN2CCN(CCCNC(=O)CCCCCC3=C(C)C(=O)c4ccccc4C3=O)CC2)C(=O)c2ccccc2C1=O,5.508638306165727
CC1=C(CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.698970004336019
CC1=C(CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.6020599913279625
CC1=C(CCCCCC(=O)O)C(=O)c2c(O)cccc2C1=O,4.301029995663981
CC1=C(CCCCCC(=O)O)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCCCCNC(=O)OC(C)(C)C)C(=O)c2c(O)cccc2C1=O,4.6020599913279625
CC1=C(CCCCCNC(=O)OC(C)(C)C)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCCCNC(=O)OC(C)(C)C)C(=O)c2c(O)cccc2C1=O,4.6020599913279625
CC1=C(CCCCNC(=O)OC(C)(C)C)C(=O)c2ccccc2C1=O,4.6020599913279625
CC1=C(CCCNC(=O)OC(C)(C)C)C(=O)c2c(O)cccc2C1=O,4.6020599913279625
CC1=C(CCCNC(=O)OC(C)(C)C)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCNC(=O)OC(C)(C)C)C(=O)c2c(O)cccc2C1=O,4.6020599913279625
CC1=C(CCNC(=O)OC(C)(C)C)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(N2CCN(CCCN(C)C)CC2)C(=O)c2ccccc2C1=O,4.2441251443275085
